holiday_date,holiday_name,federal_state,nationwide
2015-01-01,Neujahr,DE-BW,true
2015-01-01,Neujahr,DE-BY,true
2015-01-01,Neujahr,DE-BE,true
2015-01-01,Neujahr,DE-BB,true
2015-01-01,Neujahr,DE-HB,true
2015-01-01,Neujahr,DE-HH,true
2015-01-01,Neujahr,DE-HE,true
2015-01-01,Neujahr,DE-MV,true
2015-01-01,Neujahr,DE-NI,true
2015-01-01,Neujahr,DE-NW,true
2015-01-01,Neujahr,DE-RP,true
2015-01-01,Neujahr,DE-SL,true
2015-01-01,Neujahr,DE-SN,true
2015-01-01,Neujahr,DE-ST,true
2015-01-01,Neujahr,DE-SH,true
2015-01-01,Neujahr,DE-TH,true
2015-04-03,Karfreitag,DE-BW,true
2015-04-03,Karfreitag,DE-BY,true
2015-04-03,Karfreitag,DE-BE,true
2015-04-03,Karfreitag,DE-BB,true
2015-04-03,Karfreitag,DE-HB,true
2015-04-03,Karfreitag,DE-HH,true
2015-04-03,Karfreitag,DE-HE,true
2015-04-03,Karfreitag,DE-MV,true
2015-04-03,Karfreitag,DE-NI,true
2015-04-03,Karfreitag,DE-NW,true
2015-04-03,Karfreitag,DE-RP,true
2015-04-03,Karfreitag,DE-SL,true
2015-04-03,Karfreitag,DE-SN,true
2015-04-03,Karfreitag,DE-ST,true
2015-04-03,Karfreitag,DE-SH,true
2015-04-03,Karfreitag,DE-TH,true
2015-04-06,Ostermontag,DE-BW,true
2015-04-06,Ostermontag,DE-BY,true
2015-04-06,Ostermontag,DE-BE,true
2015-04-06,Ostermontag,DE-BB,true
2015-04-06,Ostermontag,DE-HB,true
2015-04-06,Ostermontag,DE-HH,true
2015-04-06,Ostermontag,DE-HE,true
2015-04-06,Ostermontag,DE-MV,true
2015-04-06,Ostermontag,DE-NI,true
2015-04-06,Ostermontag,DE-NW,true
2015-04-06,Ostermontag,DE-RP,true
2015-04-06,Ostermontag,DE-SL,true
2015-04-06,Ostermontag,DE-SN,true
2015-04-06,Ostermontag,DE-ST,true
2015-04-06,Ostermontag,DE-SH,true
2015-04-06,Ostermontag,DE-TH,true
2015-05-01,Tag der Arbeit,DE-BW,true
2015-05-01,Tag der Arbeit,DE-BY,true
2015-05-01,Tag der Arbeit,DE-BE,true
2015-05-01,Tag der Arbeit,DE-BB,true
2015-05-01,Tag der Arbeit,DE-HB,true
2015-05-01,Tag der Arbeit,DE-HH,true
2015-05-01,Tag der Arbeit,DE-HE,true
2015-05-01,Tag der Arbeit,DE-MV,true
2015-05-01,Tag der Arbeit,DE-NI,true
2015-05-01,Tag der Arbeit,DE-NW,true
2015-05-01,Tag der Arbeit,DE-RP,true
2015-05-01,Tag der Arbeit,DE-SL,true
2015-05-01,Tag der Arbeit,DE-SN,true
2015-05-01,Tag der Arbeit,DE-ST,true
2015-05-01,Tag der Arbeit,DE-SH,true
2015-05-01,Tag der Arbeit,DE-TH,true
2015-05-14,Christi Himmelfahrt,DE-BW,true
2015-05-14,Christi Himmelfahrt,DE-BY,true
2015-05-14,Christi Himmelfahrt,DE-BE,true
2015-05-14,Christi Himmelfahrt,DE-BB,true
2015-05-14,Christi Himmelfahrt,DE-HB,true
2015-05-14,Christi Himmelfahrt,DE-HH,true
2015-05-14,Christi Himmelfahrt,DE-HE,true
2015-05-14,Christi Himmelfahrt,DE-MV,true
2015-05-14,Christi Himmelfahrt,DE-NI,true
2015-05-14,Christi Himmelfahrt,DE-NW,true
2015-05-14,Christi Himmelfahrt,DE-RP,true
2015-05-14,Christi Himmelfahrt,DE-SL,true
2015-05-14,Christi Himmelfahrt,DE-SN,true
2015-05-14,Christi Himmelfahrt,DE-ST,true
2015-05-14,Christi Himmelfahrt,DE-SH,true
2015-05-14,Christi Himmelfahrt,DE-TH,true
2015-05-25,Pfingstmontag,DE-BW,true
